"","comicName","comicSummary","comicGrade"
"109","내 매력에 퐁당","내 매력에 퐁당!","9.67"
"110","부부사기단 늬우스","수요일 연재","9.82"
"111","우당탕탕 학교가자!","본격! 여고생툰","9.75"
"112","운명같은 소리하네","나와 이어진 운명은","9.93"
"113","사라생전","김서방과 판타지","9.88"
"114","생기발랄 다이어리","대안학교 이야기","9.54"
"115","라면순대","30대의 웃긴 일상","9.74"
"116","스타체이서","친구에게","9.87"
"117","텃밭부 사건일지","명랑쾌활 살인추리극","9.87"
"118","아파트용사","아싸인생 이세계로!","9.25"
"119","헬로사이공","따뜻한 이야기들","9.88"
"120","잔액이 부족합니다","대중교통 일상툰","9.93"
"121","뱀파이어클럽의 혈투","뱀파이어클럽의 혈투","8.84"
"122","분노의 난임일기","난임 정복 웹툰!","9.85"
"123","날것","해묵은 그림 일기장","8.46"
"124","이런우정","유쾌한 친구들 얘기","9.88"
"125","중독연구소","우리의 중독 이야기","9.61"
"126","투마로홈","매일 다른곳?","9.06"
"127","수상한 가족협정","우리가 누구게?","9.88"
"128","신속한 세계","판타지 모험 만화","9.25"
"129","마법약사","포션장사하는 이야기","9.95"
"130","눈깔 소녀","어느날 갑자기","9.86"
"131","봉산코믹스","비극과희극 단편선","9.81"
"132","이브의 꿈속친구","꿈에서 만난 친구","9.81"
"133","제 소원을 들어주세요!","중요한걸 잊고있었어","9.85"
"134","선선한 이야기","프리랜선선","9.68"
"135","씨름","씨름 뒤집기 한판!","8.99"
"136","일상견문록","다른나라 일상이야기","9.76"
"137","찔레꽃  그너머","임진왜란과 서민의삶","9.89"
"138","저승파견고용직","기묘한 만화","9.92"
"139","이데아 프로젝트","능력자 판타지","9.81"
"140","서폿저택에 어서오세요","서폿만 사는 저택","9.83"
"141","나눠먹는 로맨스","음식&로맨스","9.67"
"142","제목이 7080 만화","7080 이야기","9.89"
"143","지금은 여관주인!!","판타지속 여관이야기","9.92"
"144","조금 수상한 연애시뮬레이션","빛나라☆진심의♥하트","9.79"
"145","너구리네 육아일기","육아일기","9.85"
"146","솔로의 연애","연애할 수 있을까~","9.93"
"147","곰팡남녀","보통의 경계","9.91"
"148","미세만화 주의보","저 세상 단편","9.69"
"149","나의 작은 여우별","소원의 여우별","9.93"
"150","파리스의 선택","그리스 신화 회귀물","9.93"
"151","당할연","당신도할수있다연애","7.62"
"152","중딩툰","중딩이 그리는 웹툰","9.49"
"153","중등 생활 보고서","현실 중딩 보고서","8.97"
"154","매일 집밥 한그릇","셀프요리툰","9.89"
"155","전지적덕후시점","나의 덕질 라이프","9.58"
"156","벽","미스터리 SF 단편","9.84"
"157","함께 할 때까지","바카랑호두랑도마뱀","9.47"
"158","바람따라 물따라","역사인물만화","9.79"
"159","매지컬팡","명랑만화 매지컬팡","9.90"
"160","스톤에이지","스릴러 판타지","9.88"
"161","폭렬!! 극강초맹반","슈트액션 SF무협","9.74"
"162","재미개발","IT개발자들 이야기","9.79"
"163","저주와 별가루","저주와 별가루","9.80"
"164","꽃밭에서","잊어버린 것","9.90"
"165","헌트","어디에 있는가","9.77"
"166","완벽한 이별","사랑은 뭘까?","9.89"
"167","브레인 스톰","기억들의 배틀로얄","9.93"
"168","에밀리 이야기","어딘지 학교가 익숙하지 않은 에밀리의 학교적응 이야기","9.80"
"169","사업왕 심길후","사업왕 심길후","9.61"
"170","드래곤메이커","용키우는만화","9.89"
"171","특이점 2045","A.I.로봇VS인간","9.92"
"172","IDOL","전지적 연습생 시점","9.68"
"173","오늘도 분홍했분홍","일상힐링툰","9.85"
"174","네가 꿈꾸는 동안에","꿈으로 드러난 범죄","9.92"
"175","엘레노이 아타락시아","판타지로맨스드라마","9.89"
"176","도원향","우주경찰서 도원향","9.86"
"177","시간의 뒷면","위험한 시간여행","9.04"
"178","괜찮아, 고3이야","너와나의 리얼고3툰","9.91"
"179","채똘일기","채똘일기","9.50"
"180","불러줘 내 이름만","캠퍼스 로맨스","9.88"
"181","회사원 채대리","회사원 만화","9.81"
"182","오늘의 후기","매일 살아가는 후기","9.78"
"183","탑코너","고교 축구드라마","8.85"
"184","죽음과 동화","호러.판타지.로맨스","9.89"
"185","숙천","단 한 번뿐인 생.","9.75"
"186","자체공강","대학물인척하는 만화","9.91"
"187","술타는청춘","청춘들의 개그 일상","9.70"
"188","갓도령스","꽃도령아이돌 로맨스","9.89"
"189","캐세랑세라","디스 이즈 러브!","9.93"
"190","20&21세기남매","9살차남매일상툰!","9.57"
"191","Twins Love Story (트윈스 러브 스토리)","쌍둥이의 사랑이야기","9.86"
"192","이상한 낙원의 넬리쉬","이세계? 이상세계!","9.74"
"193","좋운날","좋운날 보내셨나요?","9.93"
"194","여자 공수혁","수혁이 학원기","9.93"
"195","일타쌍피 -흑-","쌍둥이 일기","9.67"
"196","일타쌍피 -백-","쌍둥이 일기","9.79"
"197","웰캄 투 실버라이프","할머니! 할아버지!","9.93"
"198","파차마마의 마법","위험천만 남미여행기","9.87"
"199","다 이아리","데이트폭력에 관하여","9.85"
"200","오늘을 담다.","도시락 일상이야기","9.93"
"201","주작작 주주작","영짐승 배틀물","9.67"
"202","슬픔을 먹는 남자","성장물,감성,판타지","9.91"
"203","식빵고양이 파운드캣","식빵을 닮은 고양이","9.92"
"204","후덜덜덜 남극전자","즐거운 회사생활","9.84"
"205","주근깨 가쵸","의도치 않은 모험","9.72"
"206","림딩동","캠퍼스 농구만화","9.74"
"207","웃지않는 여자","뒤엉킨 과거","9.80"
"208","시간이 머문 집","수수께끼 판타지","9.93"
"209","숲의 향연","으로 초대합니다.","9.83"
"210","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"211","몬스터 커맨더F","몬스터 판타지","9.89"
"212","수의사 그리는 미대생","수의사&미대생의 삶","9.83"
"213","월국(月國)의 프락세이스","소년과 세계,스피릿","9.70"
"214","빨간 고백","다시 돌아온 너에게","9.79"
"215","누나 한입만화","4컷 일상 먹툰","9.90"
"216","아틀레냐 비바체","그림작가 모집","9.86"
"217","아틀레냐","치유계 판타지","9.87"
"218","B와 당신","흡혈귀 여자친구","9.63"
"219","감각의 어빌러티","감각능력으로싸운다!","9.79"
"220","틈","틈을파고드는 이야기","9.83"
"221","고양이로 살고 있습니다","고양이 지식, 일상","9.90"
"222","우리 집에 최애캐!","최애캐와 동거하자!","9.76"
"223","이과지옥","이과 발암만화","9.78"
"224","베이퍼 정키스","퓨처 느와르","9.31"
"225","능력안경","안경장르 만화","9.90"
"226","마음의 온도","마음의 온도","9.87"
"227","보이지 않는 사람","보이지 않는 사랑","9.00"
"228","인비트윈","판타지액션,자유연재","9.85"
"229","상실의 계절","소프트 BL","9.74"
"230","신의 마녀","자칭마녀와신비한소년","9.91"
"231","라스오브이블","2차 세계대전 SF","9.57"
"232","이리(iri)","윤회판타지/자유연재","9.58"
"233","다시 돌아온","다시 돌아온","9.53"
"234","정령왕즈","정령왕들이 조잘조잘","9.87"
